,Id,geometry,Nearest_Node_ID,Nearest_Cooling_Center,Cooling_Center_ID,Driving_Time_Minutes
761,0,"POLYGON Z ((-93.55999999959022 41.5910000000149 0, -93.56010000035167 41.5910000000149 0, -93.56010000035167 41.59109999984503 0, -93.55999999959022 41.59109999984503 0, -93.55999999959022 41.5910000000149 0))",160759140.0,East Side Library,160775687.0,42.0
762,0,"POLYGON Z ((-93.56030000001192 41.593399999663234 0, -93.56030000001192 41.59329999983311 0, -93.56039999984205 41.59329999983311 0, -93.56039999984205 41.593399999663234 0, -93.56030000001192 41.593399999663234 0))",160932692.0,East Side Library,160775687.0,34.0
763,0,"POLYGON Z ((-93.5437000002712 41.570599999278784 0, -93.5437000002712 41.57049999944866 0, -93.54399999976158 41.57049999944866 0, -93.54399999976158 41.570599999278784 0, -93.5437000002712 41.570599999278784 0))",160827399.0,Pleasant Hill Public Library,160818817.0,40.0
764,0,"POLYGON Z ((-93.54719999991357 41.584699999541044 0, -93.54719999991357 41.584699999541044 0, -93.5472999997437 41.584699999541044 0, -93.5472999997437 41.584699999541044 0, -93.54719999991357 41.584699999541044 0))",160943334.0,Fourmile Community Recreation Center ,160848580.0,48.0
765,0,"POLYGON Z ((-93.56460000015795 41.598500000312924 0, -93.56460000015795 41.598500000312924 0, -93.56460000015795 41.59860000014305 0, -93.56460000015795 41.59860000014305 0, -93.56460000015795 41.598500000312924 0))",160895357.0,East Side Library,160775687.0,22.0
766,0,"POLYGON Z ((-93.54839999973774 41.58559999987483 0, -93.54839999973774 41.5855000000447 0, -93.54860000032932 41.5855000000447 0, -93.54849999956787 41.58559999987483 0, -93.54839999973774 41.58559999987483 0))",5640989909.0,Fourmile Community Recreation Center ,160848580.0,52.0
767,0,"POLYGON Z ((-93.56450000032783 41.59669999964535 0, -93.56460000015795 41.59669999964535 0, -93.56460000015795 41.59679999947548 0, -93.56450000032783 41.59679999947548 0, -93.56450000032783 41.59669999964535 0))",160964082.0,East Side Library,160775687.0,24.0
768,0,"POLYGON Z ((-93.5495999995619 41.59940000064671 0, -93.54970000032336 41.59940000064671 0, -93.54970000032336 41.59950000047684 0, -93.5495999995619 41.59950000047684 0, -93.5495999995619 41.59940000064671 0))",4577878822.0,Fourmile Community Recreation Center ,160848580.0,34.0
769,0,"POLYGON Z ((-93.56539999973029 41.59539999999106 0, -93.56539999973029 41.59530000016093 0, -93.56549999956042 41.59530000016093 0, -93.56549999956042 41.59539999999106 0, -93.56539999973029 41.59539999999106 0))",160927668.0,East Side Library,160775687.0,26.0
770,0,"POLYGON Z ((-93.5508000003174 41.590399999171495 0, -93.5508000003174 41.590399999171495 0, -93.5508000003174 41.590399999171495 0, -93.5508000003174 41.590399999171495 0, -93.5508000003174 41.590399999171495 0))",160812046.0,Fourmile Community Recreation Center ,160848580.0,44.0
771,0,"POLYGON Z ((-93.55229999963194 41.594100000336766 0, -93.55229999963194 41.59390000067651 0, -93.55260000005364 41.59390000067651 0, -93.55260000005364 41.59390000067651 0, -93.55269999988377 41.59390000067651 0, -93.55269999988377 41.59400000050664 0, -93.55260000005364 41.59400000050664 0, -93.55260000005364 41.59400000050664 0, -93.55250000022352 41.59400000050664 0, -93.55250000022352 41.594100000336766 0, -93.55229999963194 41.594100000336766 0))",160717863.0,Fourmile Community Recreation Center ,160848580.0,44.0
772,0,"POLYGON Z ((-93.56659999955446 41.594799999147654 0, -93.56659999955446 41.59469999931753 0, -93.5667000003159 41.59469999931753 0, -93.5667000003159 41.594799999147654 0, -93.5667000003159 41.594799999147654 0, -93.5667000003159 41.594799999147654 0, -93.56659999955446 41.594799999147654 0))",160913719.0,East Side Library,160775687.0,28.0
773,0,"POLYGON Z ((-93.56730000022799 41.59429999999702 0, -93.56730000022799 41.59429999999702 0, -93.56720000039786 41.59429999999702 0, -93.56720000039786 41.59420000016689 0, -93.56740000005811 41.59420000016689 0, -93.56740000005811 41.59429999999702 0, -93.56730000022799 41.59429999999702 0))",160913716.0,East Side Library,160775687.0,26.0
774,0,"POLYGON Z ((-93.55530000012368 41.58569999970496 0, -93.55530000012368 41.58569999970496 0, -93.5553999999538 41.58569999970496 0, -93.5553999999538 41.58569999970496 0, -93.55530000012368 41.58569999970496 0))",160916386.0,East Side Library,160775687.0,42.0
775,0,"POLYGON Z ((-93.57010000012815 41.599899999797344 0, -93.5702999997884 41.599899999797344 0, -93.5702999997884 41.599899999797344 0, -93.57010000012815 41.599899999797344 0, -93.57010000012815 41.599899999797344 0))",5838882117.0,East Side Library,160775687.0,20.0
